DB01148	Flavoxate
DB04920	Clevidipine
DB00369	Cidofovir
DB01262	Decitabine
DB00672	Chlorpropamide
DB00596	Halobetasol Propionate
DB01169	Arsenic trioxide
DB00434	Cyproheptadine
DB01248	Docetaxel
DB01140	Cefadroxil
DB01006	Letrozole
DB00797	Tolazoline
DB00780	Phenelzine
DB00391	Sulpiride
DB00957	Norgestimate
DB00141	N-Acetyl-D-glucosamine
DB00683	Midazolam
DB01297	Practolol
DB06706	Isometheptene
DB01123	Proflavine
DB06201	Rufinamide
DB00340	Metixene
DB00553	Methoxsalen
DB01043	Memantine
DB01249	Iodixanol
DB00929	Misoprostol
DB09009	Articaine
DB04894	Vapreotide
DB00418	Secobarbital
DB01130	Prednicarbate
DB01656	Roflumilast
DB00361	Vinorelbine
DB00764	Mometasone
DB00211	Midodrine
DB01035	Procainamide
DB00566	Succimer
DB01370	Aluminium
DB00935	Oxymetazoline
DB00913	Anileridine
DB00958	Carboplatin
DB01162	Terazosin
DB00728	Rocuronium
DB01128	Bicalutamide
DB00161	L-Valine
DB00216	Eletriptan
DB00291	Chlorambucil
DB01242	Clomipramine
DB00622	Nicardipine
DB00690	Flurazepam
DB00915	Amantadine
DB04898	Ximelagatran
DB01209	Dezocine
DB00947	Fulvestrant
DB00954	Dirithromycin
DB06751	Drotaverine
DB00274	Cefmetazole
DB00210	Adapalene
DB00171	Adenosine triphosphate
DB00730	Thiabendazole
DB00854	Levorphanol
DB01612	Amyl Nitrite
DB01213	Fomepizole
DB00584	Enalapril
DB00812	Phenylbutazone
DB06210	Eltrombopag
DB00431	Lindane
DB00231	Temazepam
DB00644	Gonadorelin
DB00175	Pravastatin
DB00700	Eplerenone
DB04841	Flunarizine
DB00412	Rosiglitazone
DB09018	Bromopride
DB00655	Estrone
DB00187	Esmolol
DB08871	Eribulin
DB00804	Dicyclomine
DB00842	Oxazepam
DB01088	Iloprost
DB08911	Trametinib
DB00482	Celecoxib
DB01106	Levocabastine
DB00640	Adenosine
DB00872	Conivaptan
DB00410	Mupirocin
DB00327	Hydromorphone
DB01558	Bromazepam
DB01045	Rifampicin
DB00134	L-Methionine
DB00631	Clofarabine
DB01567	Fludiazepam
DB00307	Bexarotene
DB00834	Mifepristone
DB05109	Trabectedin
DB00140	Riboflavin
DB01080	Vigabatrin
DB06701	Dexmethylphenidate
DB00875	Flupentixol
DB00845	Clofazimine
DB01622	Thioproperazine
DB00937	Diethylpropion
DB00761	Potassium Chloride
DB04953	Ezogabine
DB00694	Daunorubicin
DB01094	Hesperetin
DB02959	Oxitriptan
DB01236	Sevoflurane
DB00495	Zidovudine
DB04571	Trioxsalen
DB00946	Phenprocoumon
DB01034	Cerulenin
DB08866	Estradiol valerate/Dienogest
DB00183	Pentagastrin
DB01416	Cefpodoxime
DB01320	Fosphenytoin
DB01347	Saprisartan
DB00688	Mycophenolate mofetil
DB04946	Iloperidone
DB03147	Flavin adenine dinucleotide
DB01438	Phenazopyridine
DB01075	Diphenhydramine
DB00491	Miglitol
DB00261	Anagrelide
DB00343	Diltiazem
DB08981	Fenbufen
DB01107	Methyprylon
DB00207	Azithromycin
DB08796	Pipazethate
DB01390	Sodium bicarbonate
DB00507	Nitazoxanide
DB01005	Hydroxyurea
DB00182	Amphetamine
DB01595	Nitrazepam
DB06623	Flupirtine
DB04837	Clofedanol
DB01237	Bromodiphenhydramine
DB00290	Bleomycin
DB01616	Alverine
DB00985	Dimenhydrinate
DB01016	Glyburide
DB00744	Zileuton
DB00995	Auranofin
DB00989	Rivastigmine
DB00565	Cisatracurium Besylate
DB08811	Tofisopam
DB04861	Nebivolol
DB00126	Vitamin C
DB00620	Triamcinolone
DB00811	Ribavirin
DB00184	Nicotine
DB00751	Epinastine
DB00595	Oxytetracycline
DB01021	Trichlormethiazide
DB06204	Tapentadol
DB00677	Isoflurophate
DB01581	Sulfamerazine
DB00424	Hyoscyamine
DB00121	Biotin
DB00351	Megestrol acetate
DB00519	Trandolapril
DB06699	Degarelix
DB01012	Cinacalcet
DB00703	Methazolamide
DB00809	Tropicamide
DB00664	Sulfametopyrazine
DB01022	Phylloquinone
DB00349	Clobazam
DB00277	Theophylline
DB00292	Etomidate
DB01037	Selegiline
DB01133	Tiludronate
DB06689	Ethanolamine Oleate
DB01170	Guanethidine
DB00606	Cyclothiazide
DB00362	Anidulafungin
DB00605	Sulindac
DB00139	Succinic acid
DB01397	Magnesium salicylate
DB08996	Dimetacrine
DB00836	Loperamide
DB06695	Dabigatran etexilate
DB00754	Ethotoin
DB00973	Ezetimibe
DB00120	L-Phenylalanine
DB00149	L-Leucine
DB00419	Miglustat
DB01396	Digitoxin
DB00571	Propranolol
DB00952	Naratriptan
DB00916	Metronidazole
DB01601	Lopinavir
DB01627	Lincomycin
DB00692	Phentolamine
DB00911	Tinidazole
DB00679	Thioridazine
DB00712	Flurbiprofen
DB00262	Carmustine
DB01349	Tasosartan
DB00948	Mezlocillin
DB00902	Methdilazine
DB00413	Pramipexole
DB01039	Fenofibrate
DB06288	Amisulpride
DB08944	Isoaminile
DB00521	Carteolol
DB00541	Vincristine
DB00963	Bromfenac
DB00696	Ergotamine
DB00716	Nedocromil
DB01121	Phenacemide
DB01137	Levofloxacin
DB00966	Telmisartan
DB06781	Difluprednate
DB01180	Rescinnamine
DB09014	Captodiame
DB00658	Sevelamer
DB00604	Cisapride
DB00259	Sulfanilamide
DB00539	Toremifene
DB00984	Nandrolone phenpropionate
DB08947	Iopamidol
DB00598	Labetalol
DB01422	Nitroxoline
DB00331	Metformin
DB01059	Norfloxacin
DB06274	Alvimopan
DB00188	Bortezomib
DB00961	Mepivacaine
DB00818	Propofol
DB00980	Ramelteon
DB00194	Vidarabine
DB01204	Mitoxantrone
DB00878	Chlorhexidine
DB04572	Thiotepa
DB00363	Clozapine
DB00615	Rifabutin
DB01338	Pipecuronium
DB00035	Desmopressin
DB00724	Imiquimod
DB09002	Cloperastine
DB01154	Thiamylal
DB00765	Metyrosine
DB02638	Terlipressin
DB00167	L-Isoleucine
DB01033	Mercaptopurine
DB00858	Drostanolone
DB00517	Anisotropine Methylbromide
DB00172	L-Proline
DB00821	Carprofen
DB00308	Ibutilide
DB00200	Hydroxocobalamin
DB00646	Nystatin
DB00529	Foscarnet
DB00934	Maprotiline
DB00181	Baclofen
DB00798	Gentamicin
DB00177	Valsartan
DB01233	Metoclopramide
DB01235	L-DOPA
DB00378	Dydrogesterone
DB08884	Gadoxetate
DB00801	Halazepam
DB00877	Sirolimus
DB00945	Acetylsalicylic acid
DB00816	Orciprenaline
DB00160	L-Alanine
DB00747	Scopolamine
DB00357	Aminoglutethimide
DB01610	Valganciclovir
DB00869	Dorzolamide
DB00860	Prednisolone
DB00309	Vindesine
DB01086	Benzocaine
DB01583	Liotrix
DB00706	Tamsulosin
DB00268	Ropinirole
DB01023	Felodipine
DB00895	Benzylpenicilloyl Polylysine
DB00609	Ethionamide
DB06804	Nonoxynol-9
DB00996	Gabapentin
DB01010	Edrophonium
DB01084	Emedastine
DB00573	Fenoprofen
DB00896	Rimexolone
DB01071	Mequitazine
DB00813	Fentanyl
DB01072	Atazanavir
DB00789	Gadopentetate dimeglumine
DB00588	Fluticasone Propionate
DB00344	Protriptyline
DB00701	Amprenavir
DB01053	Benzylpenicillin
DB00647	Dextropropoxyphene
DB00398	Sorafenib
DB00440	Trimethoprim
DB00857	Terbinafine
DB00469	Tenoxicam
DB01155	Gemifloxacin
DB00371	Meprobamate
DB00282	Pamidronate
DB00487	Pefloxacin
DB00233	Aminosalicylic Acid
DB06213	Regadenoson
DB00819	Acetazolamide
DB00938	Salmeterol
DB01036	Tolterodine
DB00306	Talbutal
DB01062	Oxybutynin
DB01221	Ketamine
DB01365	Mephentermine
DB08816	Ticagrelor
DB00689	Cephaloglycin
DB01166	Cilostazol
DB00721	Procaine
DB00610	Metaraminol
DB06738	Ketobemidone
DB00897	Triazolam
DB00548	Azelaic Acid
DB00959	Methylprednisolone
DB01409	Tiotropium
DB00602	Ivermectin
DB06800	Methylnaltrexone
DB01356	Lithium
DB01208	Sparfloxacin
DB00243	Ranolazine
DB00695	Furosemide
DB00792	Tripelennamine
DB00235	Milrinone
DB00411	Carbachol
DB00129	L-Ornithine
DB01181	Ifosfamide
DB09006	Clinofibrate
DB00888	Mechlorethamine
DB00330	Ethambutol
DB00905	Bimatoprost
DB00623	Fluphenazine
DB04574	Estropipate
DB01101	Capecitabine
DB00425	Zolpidem
DB01411	Pranlukast
DB00461	Nabumetone
DB00294	Etonogestrel
DB00504	Levallorphan
DB00552	Pentostatin
DB00722	Lisinopril
DB01264	Darunavir
DB00180	Flunisolide
DB08842	Acetylcarnitine
DB00520	Caspofungin
DB01559	Clotiazepam
DB00165	Pyridoxine
DB00152	Thiamine
DB06696	Arbekacin
DB00776	Oxcarbazepine
DB08982	Etozoline
DB02703	Fusidic Acid
DB01160	Dinoprost Tromethamine
DB00316	Acetaminophen
DB01020	Isosorbide Mononitrate
DB00714	Apomorphine
DB00438	Ceftazidime
DB01428	Oxybenzone
DB00150	L-Tryptophan
DB01195	Flecainide
DB00626	Bacitracin
DB00523	Alitretinoin
DB00624	Testosterone
DB00280	Disopyramide
DB09019	Bromhexine
DB08864	Rilpivirine
DB01104	Sertraline
DB00671	Cefixime
DB04890	Bepotastine
DB00131	Adenosine monophosphate
DB06702	Fesoterodine
DB00760	Meropenem
DB01150	Cefprozil
DB00192	Indecainide
DB01354	Heptabarbital
DB00336	Nitrofural
DB04876	Vildagliptin
DB00295	Morphine
DB01609	Deferasirox
DB00600	Monobenzone
DB00738	Pentamidine
DB01003	Cromoglicic acid
DB00393	Nimodipine
DB06795	Mafenide
DB00497	Oxycodone
DB00346	Alfuzosin
DB01192	Oxymorphone
DB05013	Ingenol Mebutate
DB01325	Quinethazone
DB01147	Cloxacillin
DB01351	Amobarbital
DB01619	Phenindamine
DB00186	Lorazepam
DB00928	Azacitidine
DB08874	Fidaxomicin
DB00994	Neomycin
DB01625	Isopropamide
DB00576	Sulfamethizole
DB00146	Calcidiol
DB08934	Sofosbuvir
DB00734	Risperidone
DB01056	Tocainide
DB06777	Chenodeoxycholic acid
DB01551	Dihydrocodeine
DB05521	Telaprevir
DB00392	Ethopropazine
DB00817	Rosoxacin
DB00220	Nelfinavir
DB08979	Fenspiride
DB00735	Naftifine
DB00627	Niacin
DB00490	Buspirone
DB01430	Almitrine
DB00871	Terbutaline
DB00285	Venlafaxine
DB00556	Perflutren
DB05389	WF10
DB00427	Triprolidine
DB01400	Neostigmine
DB00691	Moexipril
DB00667	Histamine Phosphate
DB00906	Tiagabine
DB00245	Benzatropine
DB00597	Gadoteridol
DB00480	Lenalidomide
DB04840	Debrisoquin
DB00356	Chlorzoxazone
DB00179	Masoprocol
DB01135	Doxacurium chloride
DB00503	Ritonavir
DB01288	Fenoterol
DB00215	Citalopram
DB00723	Methoxamine
DB08971	Fluocortolone
DB00535	Cefdinir
DB01340	Cilazapril
DB00832	Phensuximide
DB00990	Exemestane
DB01194	Brinzolamide
DB00132	Alpha-Linolenic Acid
DB00281	Lidocaine
DB01255	Lisdexamfetamine
DB01008	Busulfan
DB00998	Frovatriptan
DB01410	Ciclesonide
DB00737	Meclizine
DB00470	Dronabinol
DB00828	Fosfomycin
DB01550	Fenproporex
DB01205	Flumazenil
DB00256	Lymecycline
DB01418	Acenocoumarol
DB00887	Bumetanide
DB01244	Bepridil
DB00762	Irinotecan
DB01489	Camazepam
DB00540	Nortriptyline
DB00499	Flutamide
DB01074	Perhexiline
DB00563	Methotrexate
DB01082	Streptomycin
DB00396	Progesterone
DB00312	Pentobarbital
DB00223	Diflorasone
DB00348	Nitisinone
DB00784	Mefenamic acid
DB00514	Dextromethorphan
DB01041	Thalidomide
DB00525	Tolnaftate
DB01600	Tiaprofenic acid
DB00169	Cholecalciferol
DB00227	Lovastatin
DB00193	Tramadol
DB00583	L-Carnitine
DB00222	Glimepiride
DB03166	Acetic acid
DB00587	Cinalukast
DB06729	Sulfaphenazole
DB00720	Clodronate
DB01586	Ursodeoxycholic acid
DB00249	Idoxuridine
DB09015	Potassium Canrenoate
DB00477	Chlorpromazine
DB01042	Melphalan
DB04552	Niflumic Acid
DB01069	Promethazine
DB01605	Pivmecillinam
DB00437	Allopurinol
DB05260	Gallium nitrate
DB00144	Phosphatidylserine
DB08820	Ivacaftor
DB00145	Glycine
DB00710	Ibandronate
DB08881	Vemurafenib
DB01580	Oxprenolol
DB08907	Canagliflozin
DB08810	Cinitapride
DB00650	Leucovorin
DB01265	Telbivudine
DB02187	Equilin
DB00978	Lomefloxacin
DB00669	Sumatriptan
DB00607	Nafcillin
DB01298	Sulfacytine
DB05265	Ecabet
DB00138	L-Cystine
DB00136	Calcitriol
DB01576	Dextroamphetamine
DB00674	Galantamine
DB00908	Quinidine
DB00423	Methocarbamol
DB00675	Tamoxifen
DB01408	Bambuterol
DB01028	Methoxyflurane
DB00524	Metolazone
DB01589	Quazepam
DB01055	Mimosine
DB08890	Linaclotide
DB00778	Roxithromycin
DB00494	Entacapone
DB01129	Rabeprazole
DB00320	Dihydroergotamine
DB00786	Marimastat
DB01626	Pargyline
DB00685	Trovafloxacin
DB01243	Chloroxine
DB00806	Pentoxifylline
DB00837	Progabide
DB01273	Varenicline
DB00399	Zoledronate
DB00339	Pyrazinamide
DB00429	Carboprost Tromethamine
DB00459	Acitretin
DB01263	Posaconazole
DB00478	Rimantadine
DB00314	Capreomycin
DB00773	Etoposide
DB01283	Lumiracoxib
DB00408	Loxapine
DB00839	Tolazamide
DB00388	Phenylephrine
DB01174	Phenobarbital
DB01545	Ethyl loflazepate
DB06684	Vilazodone
DB01336	Metocurine
DB00823	Ethynodiol
DB00673	Aprepitant
DB01054	Nitrendipine
DB00387	Procyclidine
DB00759	Tetracycline
DB01215	Estazolam
DB00162	Vitamin A
DB00992	Methyl aminolevulinate
DB08995	Diosmin
DB01415	Ceftibuten
DB00404	Alprazolam
DB00389	Carbimazole
DB00550	Propylthiouracil
DB01275	Hydralazine
DB00912	Repaglinide
DB00353	Methylergometrine
DB00847	Cysteamine
DB04877	Voacamine
DB00663	Flumethasone Pivalate
DB01239	Chlorprothixene
DB01118	Amiodarone
DB06148	Mianserin
DB01420	Testosterone Propionate
DB01296	Glucosamine
DB06768	Ammonium lactate
DB00116	Tetrahydrofolic acid
DB00395	Carisoprodol
DB00800	Fenoldopam
DB08992	Eperisone
DB08801	Dimetindene
DB01159	Halothane
DB08993	Enviomycin
DB08824	Ioflupane I 123
DB01615	Aceprometazine
DB00704	Naltrexone
DB00299	Penciclovir
DB06809	Plerixafor
DB06402	Telavancin
DB01250	Olsalazine
DB09003	Clocapramine
DB00810	Biperiden
DB01339	Vecuronium
DB00234	Reboxetine
DB06771	Besifloxacin
DB01108	Trilostane
DB00746	Deferoxamine
DB00899	Remifentanil
DB01598	Imipenem
DB06698	Betahistine
DB06663	Pasireotide
DB01623	Thiothixene
DB00195	Betaxolol
DB00117	L-Histidine
DB01015	Sulfamethoxazole
DB06705	Gadofosveset trisodium
DB05294	Vandetanib
DB00185	Cevimeline
DB01618	Molindone
DB00943	Zalcitabine
DB00697	Tizanidine
DB00125	L-Arginine
DB00288	Amcinonide
DB08897	Aclidinium
DB00739	Hetacillin
DB01157	Trimetrexate
DB00582	Voriconazole
DB01324	Polythiazide
DB01117	Atovaquone
DB00593	Ethosuximide
DB00488	Altretamine
DB01120	Gliclazide
DB00196	Fluconazole
DB01328	Cefonicid
DB08889	Carfilzomib
DB01131	Proguanil
DB00921	Buprenorphine
DB00982	Isotretinoin
DB01153	Sertaconazole
DB01245	Decamethonium
DB01327	Cefazolin
DB00654	Latanoprost
DB00591	Fluocinolone Acetonide
DB01380	Cortisone acetate
DB01191	Dexfenfluramine
DB00831	Trifluoperazine
DB00758	Clopidogrel
DB08800	Chloropyramine
DB01210	Levobunolol
DB00247	Methysergide
DB00924	Cyclobenzaprine
DB06711	Naphazoline
DB00866	Alprenolol
DB00558	Zanamivir
DB00515	Cisplatin
DB04896	Milnacipran
DB00444	Teniposide
DB00974	Edetic Acid
DB01083	Orlistat
DB08983	Etofibrate
DB06766	Alcaftadine
DB01085	Pilocarpine
DB08828	Vismodegib
DB01172	Kanamycin
DB00796	Candesartan
DB01452	Heroin
DB00988	Dopamine
DB00932	Tipranavir
DB01628	Etoricoxib
DB00717	Norethindrone
DB01110	Miconazole
DB01112	Cefuroxime
DB00971	Selenium Sulfide
DB08941	Isoxsuprine
DB01087	Primaquine
DB00542	Benazepril
DB06155	Rimonabant
DB00237	Butabarbital
DB05630	Sodium stibogluconate
DB00969	Alosetron
DB06335	Saxagliptin
DB00865	Benzphetamine
DB01073	Fludarabine
DB00750	Prilocaine
DB00534	Chlormerodrin
DB01299	Sulfadoxine
DB01007	Tioconazole
DB00014	Goserelin
DB06700	Desvenlafaxine
DB00401	Nisoldipine
DB00668	Epinephrine
DB01103	Quinacrine
DB00153	Ergocalciferol
DB00561	Doxapram
DB01096	Oxamniquine
DB01319	Fosamprenavir
DB01346	Quinidine barbiturate
DB00562	Benzthiazide
DB01004	Ganciclovir
DB01077	Etidronic acid
DB00979	Cyclopentolate
DB06782	Dimercaprol
DB08906	Fluticasone furoate
DB01081	Diphenoxylate
DB00406	Gentian Violet
DB00435	Nitric Oxide
DB00449	Dipivefrin
DB00376	Trihexyphenidyl
DB01398	Salicylate-sodium
DB08990	Eprazinone
DB08994	Ditazole
DB00999	Hydrochlorothiazide
DB00642	Pemetrexed
DB00788	Naproxen
DB00452	Framycetin
DB00657	Mecamylamine
DB00955	Netilmicin
DB04570	Latamoxef
DB06723	Aluminum hydroxide
DB00394	Beclomethasone
DB08819	Tafluprost
DB05266	Ibudilast
DB01337	Pancuronium
DB01436	Alfacalcidol
DB00454	Pethidine
DB00693	Fluorescein
DB00381	Amlodipine
DB01214	Metipranolol
DB00592	Piperazine
DB01113	Papaverine
DB00374	Treprostinil
DB05039	Indacaterol
DB00987	Cytarabine
DB06228	Rivaroxaban
DB01207	Ridogrel
DB06262	Droxidopa
DB00975	Dipyridamole
DB01176	Cyclizine
DB00708	Sufentanil
DB04838	Cyclandelate
DB00474	Methohexital
DB08827	Lomitapide
DB01406	Danazol
DB00814	Meloxicam
DB01367	Rasagiline
DB00225	Gadodiamide
DB01024	Mycophenolic acid
DB08896	Regorafenib
DB08943	Isoconazole
DB01295	Bevantolol
DB00822	Disulfiram
DB00253	Medrysone
DB00276	Amsacrine
DB00815	Sodium lauryl sulfate
DB01190	Clindamycin
DB00616	Candoxatril
DB01095	Fluvastatin
DB00205	Pyrimethamine
DB00263	Sulfisoxazole
DB00456	Cefalotin
DB00884	Risedronate
DB00286	Conjugated Estrogens
DB00379	Mexiletine
DB06216	Asenapine
DB01228	Encainide
DB00496	Darifenacin
DB01280	Nelarabine
DB06811	Polidocanol
DB00159	Icosapent
DB00219	Oxyphenonium
DB00212	Remikiren
DB01161	Chloroprocaine
DB08882	Linagliptin
DB01065	Melatonin
DB00794	Primidone
DB00898	Ethanol
DB00907	Cocaine
DB00457	Prazosin
DB00448	Lansoprazole
DB00472	Fluoxetine
DB00662	Trimethobenzamide
DB06292	Dapagliflozin
DB01604	Pivampicillin
DB08798	Sulfamoxole
DB06290	SIMEPREVIR
DB00242	Cladribine
DB00808	Indapamide
DB00559	Bosentan
DB00352	Tioguanine
DB01184	Domperidone
DB08966	Fursultiamine
DB00910	Paricalcitol
DB06439	Tyloxapol
DB00749	Etodolac
DB00880	Chlorothiazide
DB00575	Clonidine
DB04938	Ospemifene
DB00914	Phenformin
DB01353	Butethal
DB00769	Hydrocortamate
DB01608	Propericiazine
DB06616	Bosutinib
DB00686	Pentosan Polysulfate
